"id","bus_name","bus_type","start_time","end_time","total_duration","price","seats_available","ratings","route_link","route_name"
429,"Savera Tours and Travels","NON A/C Sleeper (2+1)","22:15","05:30","07h 15m","700","3 Seats available","3.8","https://www.redbus.in/bus-tickets/hyderabad-to-adilabad","Hyderabad to Adilabad"
430,"Orange Tours And Travels","Volvo Multi-Axle A/C Semi Sleeper (2+2)","18:00","23:15","05h 15m","800","31 Seats available","3.6","https://www.redbus.in/bus-tickets/hyderabad-to-adilabad","Hyderabad to Adilabad"
431,"GDR Tours and Travels","Bharat Benz A/C Seater (2+2)","17:30","22:45","05h 15m","700","31 Seats available","3.2","https://www.redbus.in/bus-tickets/hyderabad-to-adilabad","Hyderabad to Adilabad"
432,"Orange Tours And Travels","A/C Sleeper (2+1)","22:00","03:45","05h 45m","1400","11 Seats available","4.2","https://www.redbus.in/bus-tickets/hyderabad-to-adilabad","Hyderabad to Adilabad"
433,"Sri Vengamamba Bus Transport (SVBT)","A/C Seater / Sleeper (2+1)","21:40","06:15","08h 35m","1295","14 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
434,"Kamakshi Tours And Travels","Non A/C Seater / Sleeper (2+1)","21:30","06:00","08h 30m","790","8 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
435,"V Kaveri Travels","Scania AC Multi Axle Sleeper (2+1)","21:30","05:45","08h 15m","1440","27 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
436,"Kaveri Travels","Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1)","21:30","05:45","08h 15m","1260","18 Seats available","4.2","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
437,"Lakshmi Travels","Non A/C Seater / Sleeper (2+1)","21:50","04:30","06h 40m","899","32 Seats available","0","https://www.redbus.in/bus-tickets/hyderabad-to-ongole","Hyderabad to Ongole"
438,"TGSRTC - 8879","Super Luxury (Non AC Seater 2+2 Push Back)","00:15","06:20","06h 05m","451","13 Seats available","4.2","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
439,"TGSRTC - 1321","GARUDA PLUS (VOLVO / BENZ A.C Multi Axle)","04:00","09:20","05h 20m","548","18 Seats available","3.2","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
440,"TGSRTC - 64187","Super Luxury (Non AC Seater 2+2 Push Back)","04:00","10:30","06h 30m","451","24 Seats available","3.6","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
441,"TGSRTC - 34335","Super Luxury (Non AC Seater 2+2 Push Back)","04:30","10:50","06h 20m","451","29 Seats available","4.4","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
442,"TGSRTC - 8868","Super Luxury (Non AC Seater 2+2 Push Back)","04:50","11:05","06h 15m","451","31 Seats available","3.6","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
443,"BSR Tours And Travels","A/C Seater / Sleeper (2+1)","23:15","06:00","06h 45m","580","26 Seats available","4.8","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
444,"BSR Tours And Travels","A/C Sleeper (2+1)","23:30","06:00","06h 30m","800","17 Seats available","4.5","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
445,"Bharathi Tours & Travels","Non A/C Seater / Sleeper (2+1)","23:20","05:00","05h 40m","600","30 Seats available","4.4","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
446,"SAIRAJ TRAVELS","NON A/C Seater (2+2)","23:00","06:15","07h 15m","450","28 Seats available","4.4","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
447,"Bharathi Tours & Travels","A/C Sleeper (2+1)","23:00","05:00","06h 00m","1090","30 Seats available","4.9","https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad","Kothagudem to Hyderabad"
448,"APSRTC - 4266","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","09:00","15:34","06h 34m","483","22 Seats available","3.4","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
449,"APSRTC - 4244","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","14:00","20:30","06h 30m","451","34 Seats available","3.9","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
450,"APSRTC - 4246","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","16:00","00:03","08h 03m","483","30 Seats available","4","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
451,"APSRTC - 4256","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","20:30","02:45","06h 15m","451","31 Seats available","3.3","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
452,"APSRTC - 4737","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","21:00","02:40","05h 40m","483","27 Seats available","3.1","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
453,"IntrCity SmartBus","AC Sleeper (2+1)","22:55","05:25","06h 30m","835","23 Seats available","4.7","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
454,"IntrCity SmartBus","A/C Seater / Sleeper (2+1)","22:45","05:45","07h 00m","572","29 Seats available","4.6","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
455,"Zingbus Plus","A/C Seater / Sleeper (2+1)","21:45","05:05","07h 20m","460","29 Seats available","4.5","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
456,"Sri Sanvi Tours and Travels","A/C Sleeper (2+1)","22:15","05:00","06h 45m","719","23 Seats available","4.6","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
457,"IntrCity SmartBus","AC Sleeper (2+1)","22:35","05:10","06h 35m","954","20 Seats available","4.5","https://www.redbus.in/bus-tickets/guntur-to-hyderabad","Guntur (Andhra Pradesh) to Hyderabad"
458,"APSRTC - 4247","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","04:15","10:50","06h 35m","451","15 Seats available","3.4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
459,"APSRTC - 4738","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","04:30","11:46","07h 16m","451","18 Seats available","3.1","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
460,"APSRTC - 4245","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","05:30","14:00","08h 30m","451","15 Seats available","4.2","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
461,"APSRTC - 4221","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","09:15","17:35","08h 20m","451","26 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
462,"APSRTC - 4197","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)","10:30","18:50","08h 20m","451","27 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
463,"Zingbus Plus","A/C Seater / Sleeper (2+1)","23:38","06:50","07h 12m","851","24 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
464,"GMRK Tours and Travels","Bharat Benz A/C Sleeper (2+1)","23:30","06:10","06h 40m","999","19 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
465,"IntrCity SmartBus","Scania AC Multi Axle Sleeper (2+1)","23:30","07:15","07h 45m","1505","25 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
466,"NueGo","Electric A/C Seater (2+2)","22:35","06:35","08h 00m","880","14 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
467,"IntrCity SmartBus","AC Sleeper (2+1)","23:10","06:50","07h 40m","1098","21 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-guntur","Hyderabad to Guntur (Andhra Pradesh)"
468,"TGSRTC - 7194","Super Luxury (Non AC Seater 2+2 Push Back)","00:05","05:20","05h 15m","392","11 Seats available","4.2","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
469,"TGSRTC - 7104","Super Luxury (Non AC Seater 2+2 Push Back)","04:00","08:45","04h 45m","392","21 Seats available","1.5","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
470,"TGSRTC - 7186","Super Luxury (Non AC Seater 2+2 Push Back)","05:00","09:30","04h 30m","392","23 Seats available","4.4","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
471,"TGSRTC - 7200","Super Luxury (Non AC Seater 2+2 Push Back)","05:45","10:35","04h 50m","392","26 Seats available","5","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
472,"TGSRTC - 9502","RAJDHANI (A.C. Semi Sleeper)","06:30","11:15","04h 45m","476","32 Seats available","4","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
473,"SRI SVR travels","A/C Sleeper (2+1)","00:25","04:25","04h 00m","350","7 Seats available","3.5","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
474,"Orange Tours And Travels","Scania AC Multi Axle Sleeper (2+1)","17:00","21:40","04h 40m","600","34 Seats available","3.5","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
475,"IPS Bus Service","NON A/C Sleeper (2+2)","03:40","08:00","04h 20m","1200","40 Seats available","2","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
476,"Morning Star Travels","Scania AC Multi Axle Sleeper (2+1)","16:30","21:55","05h 25m","1090","32 Seats available","1","https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad","Godavarikhani to Hyderabad"
477,"TGSRTC - 8865","Super Luxury (Non AC Seater 2+2 Push Back)","01:30","07:50","06h 20m","451","25 Seats available","4.8","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
478,"TGSRTC - 8905","Deluxe (Non AC Seater 2+2)","03:00","09:20","06h 20m","396","35 Seats available","4.2","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
479,"TGSRTC - 8705","Super Luxury (Non AC Seater 2+2 Push Back)","03:45","10:15","06h 30m","451","31 Seats available","4.6","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
480,"TGSRTC - 6915","Deluxe (Non AC Seater 2+2)","04:00","10:20","06h 20m","396","35 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
481,"TGSRTC - 1318","LAHARI A/C SLEEPER CUM SEATER","04:40","12:00","07h 20m","548","11 Seats available","3.9","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
482,"BSR Tours And Travels","A/C Sleeper (2+1)","22:00","04:30","06h 30m","1180","8 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
483,"BSR Tours And Travels","A/C Seater / Sleeper (2+1)","22:00","04:30","06h 30m","780","22 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
484,"SAIRAJ TRAVELS","A/C Sleeper (2+1)","22:15","05:00","06h 45m","1290","20 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
485,"Bharathi Tours & Travels","Non A/C Seater / Sleeper (2+1)","21:20","05:55","08h 35m","800","11 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
486,"Bharathi Tours & Travels","A/C Sleeper (2+1)","21:20","04:50","07h 30m","1249","20 Seats available","4.8","https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem","Hyderabad to Kothagudem"
487,"TGSRTC - 8823","Super Luxury (Non AC Seater 2+2 Push Back)","04:30","10:30","06h 00m","453","24 Seats available","3.4","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
488,"TGSRTC - 8809","Super Luxury (Non AC Seater 2+2 Push Back)","05:45","13:30","07h 45m","453","10 Seats available","3.9","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
489,"TGSRTC - 8859","Super Luxury (Non AC Seater 2+2 Push Back)","06:15","12:25","06h 10m","453","12 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
490,"TGSRTC - 8806","Super Luxury (Non AC Seater 2+2 Push Back)","06:35","14:35","08h 00m","453","10 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
491,"TGSRTC - 8817","Super Luxury (Non AC Seater 2+2 Push Back)","07:10","15:10","08h 00m","453","4 Seats available","4.8","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
492,"Mozo travels","A/C Seater / Sleeper (2+1)","22:40","05:05","06h 25m","1000","25 Seats available","4.7","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
493,"Sri Venkateswara Travels","Non A/C Seater / Sleeper (2+1)","22:30","05:00","06h 30m","700","19 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
494,"BSR Tours And Travels","NON A/C Seater (2+2)","22:00","05:00","07h 00m","680","25 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
495,"Mythri Tours And Travels","A/C Sleeper (2+1)","23:00","04:15","05h 15m","1699","26 Seats available","4.8","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
496,"Bharathi Tours & Travels","Non A/C Seater / Sleeper (2+1)","21:20","05:00","07h 40m","800","29 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli","Hyderabad to Sathupally"
497,"TGSRTC - 8268","RAJDHANI (A.C. Semi Sleeper)","05:00","08:45","03h 45m","297","6 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
498,"TGSRTC - 8368","Super Luxury (Non AC Seater 2+2 Push Back)","05:30","09:30","04h 00m","245","1 Seat available","4.6","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
499,"TGSRTC - 8459","Super Luxury (Non AC Seater 2+2 Push Back)","05:30","08:45","03h 15m","245","33 Seats available","2.9","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
500,"TGSRTC - 8467","Super Luxury (Non AC Seater 2+2 Push Back)","05:30","09:15","03h 45m","245","2 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
501,"TGSRTC - 8362","Super Luxury (Non AC Seater 2+2 Push Back)","05:40","09:15","03h 35m","245","7 Seats available","4.8","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
502,"Morning Star Travels","A/C Sleeper (2+1)","05:15","09:00","03h 45m","490","3 Seats available","3.5","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
503,"Yolo Bus","Bharat Benz A/C Sleeper (2+1)","03:06","08:16","05h 10m","599","10 Seats available","2.4","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
504,"Orange Tours and Travels Grand","A/C Sleeper (2+1)","05:15","08:30","03h 15m","400","15 Seats available","1.7","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
505,"Prajapati Travels","NON A/C Sleeper (2+1)","03:30","06:15","02h 45m","3000","34 Seats available","2.5","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
506,"Sri Tulasi Tours and Travels","A/C Sleeper (2+1)","05:00","09:00","04h 00m","949","12 Seats available","1","https://www.redbus.in/bus-tickets/hyderabad-to-warangal","Hyderabad to Warangal"
507,"TGSRTC - 9887","RAJDHANI (A.C. Semi Sleeper)","01:55","05:10","03h 15m","351","37 Seats available","2.6","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
508,"TGSRTC - 30710","RAJDHANI (A.C. Semi Sleeper)","03:00","05:40","02h 40m","351","37 Seats available","4.3","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
509,"TGSRTC - 41510","Super Luxury (Non AC Seater 2+2 Push Back)","03:20","06:05","02h 45m","289","33 Seats available","2.8","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
510,"TGSRTC - 42362","Super Luxury (Non AC Seater 2+2 Push Back)","03:40","06:55","03h 15m","289","33 Seats available","4.3","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
511,"TGSRTC - 1590","RAJDHANI (A.C. Semi Sleeper)","03:50","06:25","02h 35m","351","37 Seats available","4.3","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
512,"Pavan Tours and Travels","A/C Sleeper (2+1)","01:30","05:00","03h 30m","542","3 Seats available","4.4","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
513,"Sri KVR Travels","NON A/C Sleeper (2+1)","01:45","05:30","03h 45m","560","8 Seats available","3.1","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
514,"Holidays Tours and Travels","A/C Seater / Sleeper (2+1)","01:50","05:59","04h 09m","529","1 Seat available","4.7","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
515,"SVR Tours and Travels","Volvo Multi Axle Sleeper B11R (2+1)","03:15","07:00","03h 45m","800","1 Seat available","5","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
516,"SVR Tours and Travels","Volvo A/C Sleeper (2+1)","04:15","07:15","03h 00m","800","3 Seats available","5","https://www.redbus.in/bus-tickets/kodad-to-hyderabad","Kodad to Hyderabad"
517,"TGSRTC - 7475","Super Luxury (Non AC Seater 2+2 Push Back)","00:30","04:40","04h 10m","365","4 Seats available","3.7","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
518,"TGSRTC - 7306","Super Luxury (Non AC Seater 2+2 Push Back)","04:15","08:30","04h 15m","365","20 Seats available","4","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
519,"TGSRTC - 7343","Super Luxury (Non AC Seater 2+2 Push Back)","05:00","09:45","04h 45m","365","12 Seats available","3.5","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
520,"TGSRTC - 7353","Super Luxury (Non AC Seater 2+2 Push Back)","06:05","10:35","04h 30m","365","27 Seats available","2.8","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
521,"TGSRTC - 7357","Super Luxury (Non AC Seater 2+2 Push Back)","06:45","11:05","04h 20m","365","31 Seats available","3.6","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
522,"Harikrishna Travels","Non A/C Seater / Sleeper (2+1)","17:30","23:55","06h 25m","950","36 Seats available","3","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
523,"Harikrishna Travels","Volvo Multi-Axle A/C Sleeper (2+1)","17:30","22:00","04h 30m","1520","38 Seats available","3","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
524,"SLVR Travels","Non A/C Seater / Sleeper (2+1)","17:30","23:35","06h 05m","900","32 Seats available","2.9","https://www.redbus.in/bus-tickets/jagityal-to-hyderabad","Jagityal to Hyderabad"
525,"TGSRTC - 8705","Super Luxury (Non AC Seater 2+2 Push Back)","03:45","11:15","07h 30m","517","24 Seats available","3.2","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
526,"TGSRTC - 1318","LAHARI A/C SLEEPER CUM SEATER","04:40","12:40","08h 00m","627","9 Seats available","4","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
527,"TGSRTC - 8703","Super Luxury (Non AC Seater 2+2 Push Back)","05:00","12:30","07h 30m","517","29 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
528,"TGSRTC - 1951","LAHARI A/C SLEEPER CUM SEATER","05:35","13:30","07h 55m","627","14 Seats available","4.1","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
529,"TGSRTC - 8725","Super Luxury (Non AC Seater 2+2 Push Back)","06:15","14:50","08h 35m","517","9 Seats available","3.9","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
530,"BSR Tours And Travels","A/C Seater / Sleeper (2+1)","22:00","05:30","07h 30m","780","17 Seats available","4.6","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
531,"BSR Tours And Travels","A/C Sleeper (2+1)","22:00","05:30","07h 30m","1180","8 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
532,"SAIRAJ TRAVELS","A/C Sleeper (2+1)","22:15","05:45","07h 30m","1290","16 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
533,"Bharathi Tours & Travels","A/C Sleeper (2+1)","21:20","05:50","08h 30m","1249","20 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
534,"Bharathi Tours & Travels","Non A/C Seater / Sleeper (2+1)","21:20","05:50","08h 30m","800","10 Seats available","4.1","https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam","Hyderabad to Bhadrachalam"
535,"TGSRTC - 1777","Super Luxury (Non AC Seater 2+2 Push Back)","09:30","20:50","11h 20m","732","11 Seats available","3.2","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
536,"TGSRTC - 8265","Super Luxury (Non AC Seater 2+2 Push Back)","10:30","22:00","11h 30m","732","15 Seats available","2.9","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
537,"TGSRTC - 6762","Super Luxury (Non AC Seater 2+2 Push Back)","11:30","23:00","11h 30m","732","25 Seats available","2.9","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
538,"TGSRTC - 2085","Super Luxury (Non AC Seater 2+2 Push Back)","12:50","03:20","14h 30m","732","20 Seats available","3.2","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
539,"TGSRTC - 2429","Super Luxury (Non AC Seater 2+2 Push Back)","14:30","03:30","13h 00m","802","27 Seats available","2.3","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
540,"IntrCity SmartBus","AC Sleeper (2+1)","21:30","07:20","09h 50m","1464","21 Seats available","4.6","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
541,"Ramana Tours And Travels","A/C Sleeper (2+1)","20:30","07:50","11h 20m","1450","10 Seats available","4.5","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
542,"IntrCity SmartBus","AC Sleeper (2+1)","20:20","06:45","10h 25m","1281","18 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
543,"Yolo Bus","Bharat Benz A/C Seater /Sleeper (2+1)","18:30","06:39","12h 09m","1170","27 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
544,"Jagan Travels","Scania AC Multi Axle Sleeper (2+1)","20:00","07:15","11h 15m","1500","20 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi","Hyderabad to Tirupati"
545,"TGSRTC - 9444","Super Luxury (Non AC Seater 2+2 Push Back)","00:10","04:25","04h 15m","392","7 Seats available","2.1","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
546,"TGSRTC - 7291","LAHARI A/C SLEEPER CUM SEATER","04:00","08:30","04h 30m","476","7 Seats available","1.2","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
547,"TGSRTC - 7246","Super Luxury (Non AC Seater 2+2 Push Back)","07:20","12:50","05h 30m","392","6 Seats available","2.4","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
548,"TGSRTC - 7159","Super Luxury (Non AC Seater 2+2 Push Back)","08:15","13:45","05h 30m","392","2 Seats available","2.1","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
549,"TGSRTC - 7163","Super Luxury (Non AC Seater 2+2 Push Back)","11:00","16:30","05h 30m","392","2 Seats available","4.3","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
550,"Orange Tours And Travels","Scania AC Multi Axle Sleeper (2+1)","05:00","08:55","03h 55m","750","1 Seat available","3.1","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
551,"SRI SVR travels","A/C Sleeper (2+1)","22:20","04:00","05h 40m","1200","27 Seats available","3.5","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
552,"Morning Star Travels","Volvo Multi Axle B9R A/C Sleeper (2+1)","03:40","09:45","06h 05m","990","8 Seats available","2.1","https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani","Hyderabad to Godavarikhani"
553,"TGSRTC - 6021","Super Luxury (Non AC Seater 2+2 Push Back)","05:00","09:30","04h 30m","312","13 Seats available","4.8","https://www.redbus.in/bus-tickets/hyderabad-to-armoor","Hyderabad to Armoor"
554,"TGSRTC - 7990","Super Luxury (Non AC Seater 2+2 Push Back)","05:30","10:25","04h 55m","310","4 Seats available","4.4","https://www.redbus.in/bus-tickets/hyderabad-to-armoor","Hyderabad to Armoor"
555,"TGSRTC - 7517","Super Luxury (Non AC Seater 2+2 Push Back)","06:00","10:30","04h 30m","312","6 Seats available","3.7","https://www.redbus.in/bus-tickets/hyderabad-to-armoor","Hyderabad to Armoor"
556,"TGSRTC - 1137","RAJDHANI (A.C. Semi Sleeper)","06:15","10:40","04h 25m","377","3 Seats available","3.1","https://www.redbus.in/bus-tickets/hyderabad-to-armoor","Hyderabad to Armoor"
